source_region_id_g,source_region_g,source_country_g,source_country_id_g,destination_region_id_g,destination_region_g,destination_country_g,destination_country_id_g,source_lat_def,source_long_def,destination_lat_def,destination_long_def,source_city,destination_city,investment_mm,jobs,rank,group
390,Virginia,United States,1663,1499,"Tagalog, Luzon, W. Visayas",Philippines,1769,38.879971,-77.106773,9.9833326,122.81667,Arlington (VA),Kabankalan,781.0999756,116,20,United States
366,California,United States,1663,,,Malaysia,1605,37.05106,-122.01469,5.4141674,100.32876,Scotts Valley (CA),Not Specified,782.5399933,3471,19,United States
539,Idaho,United States,1663,768,Hiroshima,Japan,1694,43.61871,-116.21461,34.396561,132.45963,Boise (ID),Not Specified,858.8599854,2025,18,United States
548,Michigan,United States,1663,426,Mexico,Mexico,1653,42.331429,-83.045753,19.496874,-99.723267,Detroit (MI),Not Specified,900,2240,17,United States
548,Michigan,United States,1663,403,Coahuila,Mexico,1653,42.331429,-83.045753,27.058676,-101.70683,Detroit (MI),Not Specified,900,2240,16,United States
548,Michigan,United States,1663,410,San Luis Potosi,Mexico,1653,42.331429,-83.045753,22.156565,-100.98547,Detroit (MI),Not Specified,916.6000004,2324,15,United States
548,Michigan,United States,1663,423,Guanajuato,Mexico,1653,42.331429,-83.045753,20.917019,-101.16174,Detroit (MI),Not Specified,942.9000015,2319,14,United States
548,Michigan,United States,1663,226,Rayong,Thailand,1770,42.331429,-83.045753,12.681396,101.28162,Detroit (MI),Rayong,964.7200317,5368,13,United States
376,Texas,United States,1663,1350,Prov. Antwerpen,Belgium,1674,32.814018,-96.948891,51.219448,4.4024644,Irving (TX),Antwerp,1041.400002,217,12,United States
366,California,United States,1663,872,Jiangsu,China,1741,34.142509,-118.25507,32.060253,118.79688,Glendale (CA),Nanjing,1054.699988,2011,11,United States
366,California,United States,1663,,,Singapore,1611,37.432335,-121.89957,1.352083,103.81984,Milpitas (CA),Singapore,1173.599989,1814,10,United States
366,California,United States,1663,626,Chaharmahal and Bakhtiyari,"Iran, Islamic Rep.",1690,33.567684,-117.72561,31.961435,50.845631,Aliso Viejo (CA),Not Specified,1180,650,9,United States
366,California,United States,1663,336,New South Wales,Australia,1576,37.432335,-121.89957,-33.87365,151.20689,Milpitas (CA),Sydney,1364.999998,2344,8,United States
366,California,United States,1663,549,Ontario,Canada,1632,37.562992,-122.32552,43.653225,-79.383186,San Mateo (CA),Toronto,1386.499966,2811,7,United States
548,Michigan,United States,1663,857,Guangxi,China,1741,42.331429,-83.045753,24.325502,109.41595,Detroit (MI),Liuzhou,1441.600006,3129,6,United States
367,Colorado,United States,1663,1514,Midlands,United Kingdom,1778,39.739235,-104.99025,52.240479,-0.90265602,Denver (CO),Northampton,1445,1504,5,United States
376,Texas,United States,1663,,,Singapore,1611,32.814018,-96.948891,1.352083,103.81984,Irving (TX),Singapore,1461.000023,617,4,United States
367,Colorado,United States,1663,1516,South East w/ London,United Kingdom,1778,39.739235,-104.99025,51.446209,0.21687201,Denver (CO),Dartford,1639.599997,1763,3,United States
365,Arizona,United States,1663,318,E. Java,Indonesia,1619,33.448376,-112.07404,-7.5360637,112.2384,Phoenix (AZ),Not Specified,2000,3000,2,United States
366,California,United States,1663,401,Baja California Norte,Mexico,1653,32.715736,-117.16109,32.568584,-116.6347,San Diego (CA),Tecate,2006,3100,1,United States
1260,Baden-Wurttemberg,"Germany, West",1779,336,New South Wales,Australia,1576,49.487461,8.4660397,-32.926697,151.77888,Mannheim,Newcastle,771,266,71,Advanced economies
390,Virginia,United States,1663,1499,"Tagalog, Luzon, W. Visayas",Philippines,1769,38.879971,-77.106773,9.9833326,122.81667,Arlington (VA),Kabankalan,781.0999756,116,70,Advanced economies
1275,le-de-France,France,1774,719,Balochistan,Pakistan,1715,48.856613,2.352222,28.490734,65.095779,Paris,Not Specified,781.0999756,116,69,Advanced economies
366,California,United States,1663,,,Malaysia,1605,37.05106,-122.01469,5.4141674,100.32876,Scotts Valley (CA),Not Specified,782.5399933,3471,68,Advanced economies
867,Taiwan,Taiwan,1738,856,Shanxi,China,1741,25.032969,121.56541,37.873531,112.5624,Taipei,Not Specified,814.4899902,3000,67,Advanced economies
797,Tokyo,Japan,1694,1499,"Tagalog, Luzon, W. Visayas",Philippines,1769,35.709026,139.73199,13.93469,121.94731,Tokyo,Not Specified,820.999974,2135,66,Advanced economies
758,Aichi,Japan,1694,401,Baja California Norte,Mexico,1653,35.082394,137.15625,32.514946,-117.03825,Toyota,Tijuana,839.7999878,2068,65,Advanced economies
1516,South East w/ London,United Kingdom,1778,374,Oklahoma,United States,1663,51.752022,-1.2577263,35.46756,-97.516426,Oxford,Oklahoma City (OK),839.9000001,623,64,Advanced economies
797,Tokyo,Japan,1694,661,Kirklareli,Turkey,1732,35.709026,139.73199,41.725979,27.483839,Tokyo,Not Specified,846.7999878,262,63,Advanced economies
525,Alberta,Canada,1632,,,Iraq,1691,51.048615,-114.07085,36.410339,44.387196,Calgary,Not Specified,850.2000122,214,62,Advanced economies
