geoid_r	pop_rIp	GDPpc_rIp	popd_rIp	allpat	educ_rIp
1	25567.85	5105.31	-1.29	0.00	
4	268253.72	3583.40	3.53	0.00	5.74
6	281282.02	6366.47	8.30	0.03	8.87
7	18999.63	5085.17	-0.94	0.00	5.15
19	40269.75	4895.34	-0.00	0.02	4.91
27	68713.27	5308.03	2.11	0.06	5.75
34	266040.57	3993.85	4.57	0.00	5.76
36	36926.31	5282.99	1.79	0.00	5.34
38	816189.34	10851.32	7.71	0.05	7.35
40	439014.90	4354.41	4.13	0.03	6.64
41	672826.90	4046.02	3.58	0.02	5.27
44	460195.76	6001.37	2.62	0.00	7.88
45	513825.62	2514.17	2.59	0.03	5.02
48	64491.08	16403.25	2.07	0.03	7.31
49	105904.40	6935.24	2.49	0.01	7.68
51	611579.33	2152.32	3.56	0.00	3.96
52	313441.11	2575.60	2.81	0.03	4.40
53	619940.71	4009.92	3.89	0.03	6.36
57	479591.49	6552.42	0.65	0.01	4.41
60	281651.51	4627.73	3.24	0.02	7.73
62	3453398.82	7088.47	5.23	0.04	8.77
64	188930.25	3811.42	3.79	0.00	7.09
66	105142.28	12649.20	3.73	0.00	7.66
69	716040.34	9198.63	4.82	0.03	9.09
70	107106.08	2474.03	2.96	0.02	6.01
73	939128.78	2965.30	5.47	0.01	6.40
74	372867.45	1839.94	4.07	0.03	4.76
77	302888.54	5512.39	4.23	0.00	6.23
78	261154.33	4064.20	4.43	0.00	6.92
79	206001.77	2316.29	3.59	0.00	6.24
83	104176.53	2935.43	3.98	0.00	4.99
85	1648284.06	4932.72	5.14	0.05	7.15
86	326736.87	3034.08	4.59	0.03	5.49
88	204376.91	2331.06	4.20	0.03	5.49
91	1190966.80	5145.09	5.11	0.04	8.03
93	220729.75	3702.12	4.96	0.03	6.23
98	372279.72	7673.71	0.37	0.05	4.09
99	2295529.23	5953.18	4.26	0.05	4.99
101	585326.87	3316.16	3.81	0.02	3.63
102	835487.71	6091.39	3.98	0.10	4.57
105	873138.23	6672.06	4.32	0.03	4.33
106	2505815.74	8171.61	8.03	0.00	7.34
107	224778.67	5737.63	5.59	0.03	4.96
111	498352.62	3061.01	3.53	0.00	3.37
116	757463.48	4285.08	4.03	0.08	4.62
117	379206.51	4139.77	3.47	0.03	4.00
119	506684.55	3120.91	3.75	0.07	4.20
120	318695.98	2631.68	4.01	0.00	3.60
121	523526.78	3413.28	3.85	0.26	4.07
122	271553.21	6067.01	1.81	0.00	4.49
124	53806.31	5224.73	-0.37	0.06	5.44
126	166767.05	7451.75	1.68	0.00	7.42
127	193500.42	11847.96	1.01	0.14	7.46
128	120352.43	5947.85	1.00	0.03	6.31
129	281333.34	3340.54	2.49	0.03	5.83
130	2911671.29	7143.01	5.71	0.29	7.38
131	777064.69	5741.63	4.39	0.05	7.00
132	483719.39	2763.04	3.14	0.00	5.13
133	911651.18	4867.36	3.67	0.06	5.85
134	386770.81	5222.39	3.68	0.04	5.35
135	611255.93	3697.04	2.62	0.02	5.02
137	217107.57	3182.60	0.99	0.08	3.09
138	3513014.62	5185.02	0.69	0.18	3.90
139	2441919.36	1662.25	2.68	0.08	2.67
140	1375434.72	6588.67	0.60	0.07	3.55
141	3401389.47	7315.09	2.33	0.83	4.67
142	8291358.50	5357.02	3.27	0.74	4.25
143	5192056.61	7835.85	3.49	0.11	5.10
144	16780769.90	10874.09	4.81	0.29	5.42
145	4726060.15	6417.95	3.76	0.12	4.44
146	2536185.65	7061.19	3.84	0.45	4.84
147	3210966.71	2552.68	3.76	0.06	3.10
148	1273555.69	1624.14	2.29	0.05	2.65
149	1238120.03	2507.27	4.45	0.04	2.78
150	5873506.90	3467.07	3.00	0.20	3.07
151	1364551.09	5949.32	4.01	0.04	4.53
152	1588135.95	2208.19	4.01	0.12	3.03
153	3580801.41	3284.73	4.27	0.07	3.67
154	6921368.40	8996.18	5.66	0.19	5.82
155	1192414.48	2821.34	3.78	0.06	3.48
156	749997.24	3598.18	4.21	0.07	3.20
157	1041944.89	2657.33	2.70	0.05	5.15
162	150067.46	2570.46	0.30	0.02	4.86
163	362049.22	1784.17	1.75	0.00	3.11
166	126261.21	18351.39	-0.41	0.03	7.17
168	322980.91	5046.53	1.85	0.05	6.73
169	248033.94	12626.32	0.45	0.00	6.73
170	869751.88	7957.15	2.24	0.09	6.68
172	7936195.38	7362.34	3.72	0.50	6.96
173	1750590.09	25020.77	9.69	0.03	9.60
175	324457.89	7987.99	0.88	0.02	6.32
176	183109.72	8121.39	1.34	0.03	6.68
177	1658786.14	7813.02	2.81	0.01	7.13
179	288833.07	4911.49	2.28	0.00	6.32
180	136420.20	5146.55	0.92	0.02	7.02
181	498594.72	4576.77	1.74	0.14	6.46
182	402907.56	3583.08	1.65	0.02	5.43
183	665883.47	5145.44	3.93	0.02	6.62
184	484764.59	4195.35	2.16	0.02	5.26
185	225964.40	3483.53	1.67	0.00	5.60
186	467985.15	4735.53	2.22	0.02	5.83
187	621743.64	6032.16	2.60	0.02	6.20
188	1631470.05	8304.19	3.04	0.05	6.96
189	457250.98	4178.12	3.28	0.06	5.33
190	393098.05	11481.91	2.78	0.08	5.10
191	120104.57	5583.88	1.15	0.03	3.45
192	513902.30	7796.40	4.97	0.04	5.57
193	190805.29	6070.08	2.33	0.05	3.67
194	397149.58	9531.71	1.18	0.33	5.58
196	80591.48	5273.65	2.38	0.06	4.35
197	282766.10	16147.35	3.01	0.07	4.62
198	224597.20	5586.41	1.87	0.03	4.08
199	546547.19	4451.34	4.02	0.29	4.58
200	261953.50	4002.02	3.69	0.05	4.64
201	841767.78	10097.46	5.25	0.23	6.21
202	218986.07	13897.72	2.69	0.08	4.65
204	255126.74	4801.28	3.23	0.02	3.82
205	323647.42	4028.58	4.06	0.04	3.93
206	372934.00	4294.04	4.23	0.02	4.42
208	175195.97	4537.45	4.00	0.03	4.21
209	998630.03	17794.91	3.79	0.32	5.24
210	14951121.58	1782.57	6.65	0.29	4.90
212	29108906.38	1874.93	6.07	0.78	3.34
214	502266.59	11988.81	5.37	0.06	4.48
215	204217.10	3521.48	4.19	0.00	3.49
217	699939.68	2696.54	4.93	0.03	3.48
219	270408.97	2732.72	5.61	0.03	3.16
221	237975.31	1836.45	4.81	0.03	3.28
223	116331.75	8658.68	5.99	0.03	5.40
224	218553.42	4425.41	4.19	0.00	3.65
226	236814.23	20060.46	4.80	0.05	3.45
228	115992.97	3719.98	4.44	0.03	3.45
229	560667.55	4457.87	4.97	0.03	4.11
230	379536.52	4015.71	4.03	0.03	3.82
236	704280.09	422.66	3.48	0.03	2.51
247	1143157.18	652.10	4.14	0.03	2.76
254	706350.46	660.04	3.89	0.00	2.93
255	1194033.29	1956.94	6.01	0.06	7.21
258	854662.14	927.17	5.22	0.03	
259	859074.16	2722.86	5.32	0.00	7.58
260	894312.66	1786.26	5.85	0.03	7.33
263	2504810.05	4289.23	7.22	0.04	8.58
265	4566342.74	4739.47	2.39	0.29	5.62
266	7100031.75	6951.10	3.54	2.23	5.76
267	1265011.28	4390.31	2.82	0.34	5.01
268	2954626.78	5250.52	3.81	0.18	5.11
269	2191883.76	2101.79	5.72	0.09	4.61
270	5944782.78	1617.37	4.71	0.21	4.78
271	1544337.61	1145.87	5.00	0.05	4.28
272	6488726.00	1503.92	4.93	0.02	7.74
273	7972856.00	1077.37	4.79	0.04	7.87
284	944903.36	5573.12	4.50	0.21	4.87
285	541034.29	8986.25	7.00	0.13	5.88
286	757663.42	4059.89	4.98	0.06	4.75
287	1050403.84	6163.18	4.66	0.14	5.38
288	557977.04	2666.18	4.28	0.12	4.68
289	264903.75	6362.44	5.72	0.04	5.69
