geoid_r,macroregion,impact,diff,diff2,year_c,region,allpat,didAll,Europe28,LatAm,EastAs
1,,0,,0,2012,Amazonas,0,,0,1,0
2,,0,,0,2012,Delta Amacuro,0,,0,1,0
3,,0,,0,2012,Alto Paraguay,0,,0,1,0
4,,0,,0,2012,Alto Paran,0,,0,1,0
5,,0,,0,2012,Amambay,0,,0,1,0
6,,0,,0,2012,Asuncin,2,0,0,1,0
7,,0,,0,2012,Boquern,0,,0,1,0
8,,0,,0,2012,Caaguaz,0,,0,1,0
9,,0,,0,2012,Caazap,0,,0,1,0
10,,0,,0,2012,Canindey,0,,0,1,0
11,,-1,,0,2012,Central,0,-.1,0,1,0
12,,0,,0,2012,Concepcin,0,,0,1,0
13,,0,,0,2012,Cordillera,0,,0,1,0
14,,0,,0,2012,Guair,0,,0,1,0
15,,0,,0,2012,Itapa,0,,0,1,0
16,,0,,0,2012,Misiones,0,,0,1,0
17,,0,,0,2012,eembuc,0,,0,1,0
18,,0,,0,2012,Paraguar,0,,0,1,0
19,,0,,0,2012,Presidente Hayes,0,,0,1,0
20,,0,,0,2012,San Pedro,0,,0,1,0
21,,0,,0,2012,Colonia,0,,0,1,0
22,,0,,0,2012,San Jos,0,,0,1,0
23,,0,,0,2012,Artigas,0,,0,1,0
24,,0,,0,2012,Flores,0,,0,1,0
25,,0,,0,2012,Paysand,0,,0,1,0
26,,0,,0,2012,Ro Negro,0,,0,1,0
27,,0,,0,2012,Salto,0,,0,1,0
28,,0,,0,2012,Soriano,0,,0,1,0
29,,0,,0,2012,Cerro Largo,0,,0,1,0
30,,0,,0,2012,Durazno,0,,0,1,0
31,,0,,0,2012,Rivera,0,,0,1,0
32,,0,,0,2012,Tacuaremb,0,,0,1,0
33,,0,,0,2012,Treinta y Tres,0,,0,1,0
34,,0,,0,2012,Canelones,1,,0,1,0
35,,0,,0,2012,Florida,0,,0,1,0
36,,0,,0,2012,Lavalleja,0,,0,1,0
37,,0,,0,2012,Maldonado,1,,0,1,0
38,,-1,,0,2012,Montevideo,4,-.17096032,0,1,0
39,,0,,0,2012,Rocha,0,,0,1,0
40,,0,,0,2012,Lambayeque,0,,0,1,0
41,,0,,0,2012,Piura,0,,0,1,0
42,,0,,0,2012,Tumbes,0,,0,1,0
43,,0,,0,2012,Apurmac,0,,0,1,0
44,,0,,0,2012,Arequipa,1,,0,1,0
45,,0,,0,2012,Cusco,1,,0,1,0
46,,0,,0,2012,Madre de Dios,0,,0,1,0
47,,0,,0,2012,Puno,0,,0,1,0
48,,1,,0,2012,Moquegua,0,.075000003,0,1,0
49,,0,,0,2012,Tacna,0,,0,1,0
50,,0,,0,2012,Ancash,0,,0,1,0
51,,0,,0,2012,Cajamarca,0,,0,1,0
52,,0,,0,2012,Hunuco,0,,0,1,0
53,,0,,0,2012,La Libertad,1,0,0,1,0
54,,0,,0,2012,Pasco,0,,0,1,0
55,,0,,0,2012,San Martn,0,,0,1,0
56,,0,,0,2012,Amazonas,0,0,0,1,0
57,,0,,0,2012,Loreto w/ Ucayali,0,0,0,1,0
58,,0,,0,2012,Ayacucho,0,,0,1,0
59,,0,,0,2012,Huancavelica,0,,0,1,0
60,,0,,0,2012,Ica,0,,0,1,0
61,,0,,0,2012,Junn,0,,0,1,0
62,,1,,0,2012,Lima w/ Callao,5,.0185,0,1,0
63,,0,,0,2012,Bocas Del Toro,0,,0,1,0
64,,0,,0,2012,Chiriqu,0,,0,1,0
65,,0,,0,2012,Cocl,0,,0,1,0
66,,0,,0,2012,Coln,0,,0,1,0
67,,0,,0,2012,Herrera,0,,0,1,0
68,,0,,0,2012,Los Santos,0,,0,1,0
69,,0,,0,2012,Panam City,2,,0,1,0
70,,0,,0,2012,Veraguas,0,,0,1,0
71,,1,,0,2012,Darin,0,.013333334,0,1,0
72,,0,,0,2012,San Blas,0,,0,1,0
73,,0,,0,2012,Pacfico Central,1,,0,1,0
74,,0,,0,2012,Pacfico Norte,0,,0,1,0
75,,0,,0,2012,Pacfico Sur,0,,0,1,0
76,,0,,0,2012,Interior Sur,0,,0,1,0
77,,0,,0,2012,Azuay,0,,0,1,0
78,,0,,0,2012,El Oro,0,,0,1,0
79,,0,,0,2012,Loja,0,,0,1,0
80,,0,,0,2012,Zamora Chinchipe,0,,0,1,0
81,,0,,0,2012,Galapagos,0,,0,1,0
82,,0,,0,2012,Bolivar,0,,0,1,0
83,,0,,0,2012,Caar,0,,0,1,0
84,,0,,0,2012,Cotopaxi,0,,0,1,0
85,,0,,0,2012,Guayas,0,0,0,1,0
86,,0,,0,2012,Los Rios,0,,0,1,0
87,,0,,0,2012,Manabi,0,,0,1,0
88,,0,,0,2012,Chimborazo,0,,0,1,0
89,,0,,0,2012,Morona Santiago,0,,0,1,0
90,,0,,0,2012,Napo w/ Orellana,0,,0,1,0
91,,1,,0,2012,Pichincha,4,.0625,0,1,0
92,,0,,0,2012,Pastaza,0,,0,1,0
93,,0,,0,2012,Tungurahua,0,,0,1,0
94,,0,,0,2012,Esmeraldas,0,,0,1,0
95,,0,,0,2012,Carchi,0,,0,1,0
96,,0,,0,2012,Imbabura,0,,0,1,0
97,,0,,0,2012,Sucumbios,0,,0,1,0
98,,1,,0,2012,Nuevos Departamentos,17,.16580953,0,1,0
99,,1,,0,2012,Antioquia,5,.065022223,0,1,0
100,,0,,0,2012,Boyaca,0,,0,1,0
101,,-1,,0,2012,Cordoba,2,-.038000003,0,1,0
102,,1,,0,2012,Santander,1,.016666668,0,1,0
103,,0,,0,2012,La Guajira,0,,0,1,0
104,,0,,0,2012,Caldas,0,,0,1,0
105,,0,,0,2012,Cundinamarca,1,,0,1,0
106,,-1,,0,2012,Bogota,11,-.017914377,0,1,0
107,,0,,0,2012,Quindio,0,,0,1,0
108,,0,,0,2012,Risaralda,0,,0,1,0
109,,0,,0,2012,Tolima,0,,0,1,0
110,,0,,0,2012,Caqueta,0,,0,1,0
111,,0,,0,2012,Cauca,2,,0,1,0
112,,0,,0,2012,Huila,0,,0,1,0
113,,0,,0,2012,Narino,0,,0,1,0
114,,0,,0,2012,Valle del Cauca,2,0,0,1,0
115,,0,,0,2012,Atlantico,0,0,0,1,0
116,,-1,,0,2012,Bolivar,0,-.05126984,0,1,0
117,,0,,0,2012,Cesar,0,,0,1,0
118,,0,,0,2012,Choco,0,,0,1,0
119,,0,,0,2012,Magdalena,0,,0,1,0
120,,0,,0,2012,Sucre,0,,0,1,0
121,,0,,0,2012,Norte de Santander,0,,0,1,0
122,,0,,0,2012,Meta,0,,0,1,0
123,,0,,0,2012,ocean islands,0,,0,1,0
124,,0,,0,2012,Aisn del General Carlos Ibez del Campo,0,,0,1,0
125,,0,,0,2012,Magallanes y Antrtica Chilena,0,,0,1,0
126,,5,,0,2012,Tarapac,262,2.6920729,0,1,0
127,,-1,,0,2012,Antofagasta,2,-.21634066,0,1,0
128,,0,,0,2012,Atacama,1,,0,1,0
129,,1,,0,2012,Coquimbo,1,.09977778,0,1,0
130,,1,,0,2012,Regin Metropolitana de Santiago,39,.19598031,0,1,0
131,,0,,0,2012,Valparaso,2,,0,1,0
132,,0,,0,2012,Araucana,1,,0,1,0
133,,0,,0,2012,Biobo,1,,0,1,0
134,,-1,,0,2012,Libertador General Bernardo O'Higgins,0,-.020666666,0,1,0
135,,0,,0,2012,Los Lagos,0,,0,1,0
136,,0,,0,2012,Maule,0,,0,1,0
137,,-1,,0,2012,Acre,3,-.14783335,0,1,0
138,,-1,,0,2012,"Amazonas, MG, MG do Sul, Rondnia, Roraima",4,-.057087105,0,1,0
139,,-1,,0,2012,Maranho,2,-.038333334,0,1,0
140,,-1,,0,2012,Par and Amap,2,-.03001984,0,1,0
141,,1,,0,2012,"Gois, DF, Tocantins",18,.069041669,0,1,0
142,,1,,0,2012,Minas Gerais,23,.1297619,0,1,0
143,,1,,0,2012,Rio Grande do Sul,11,.099703774,0,1,0
144,,1,,0,2012,So Paulo,90,.3078936,0,1,0
145,,1,,0,2012,Paran,19,.025765376,0,1,0
146,,1,,0,2012,Santa Catarina,18,.16336508,0,1,0
147,,1,,0,2012,Cear,16,.014597224,0,1,0
148,,0,,0,2012,Piau,1,,0,1,0
149,,-1,,0,2012,Alagoas,2,-.055833332,0,1,0
150,,1,,0,2012,Bahia,92,.24379931,0,1,0
151,,-1,,0,2012,Esprito Santo,3,-.079999998,0,1,0
152,,-1,,0,2012,Paraba,2,-.098273806,0,1,0
153,,-1,,0,2012,Pernambuco,5,-.024781441,0,1,0
154,,1,,0,2012,Rio de Janeiro,53,.26460692,0,1,0
155,,1,,0,2012,Rio Grande do Norte,5,.0010285724,0,1,0
156,,0,,0,2012,Sergipe,0,,0,1,0
157,,-1,,0,2012,La Paz,0,-.018089285,0,1,0
158,,0,,0,2012,Oruro,0,,0,1,0
159,,0,,0,2012,Pando,0,,0,1,0
160,,-1,,0,2012,Cochabamba,0,-.037500001,0,1,0
161,,0,,0,2012,Chuquisaca,0,,0,1,0
162,,0,,0,2012,Beni,1,,0,1,0
163,,0,,0,2012,Potos,0,,0,1,0
164,,-1,,0,2012,Santa Cruz,0,-.02,0,1,0
165,,0,,0,2012,Tarija,0,,0,1,0
166,,0,,0,2012,Santa Cruz,0,,0,1,0
167,,0,,0,2012,Tierra del Fuego,0,,0,1,0
168,,0,,0,2012,San Juan,0,,0,1,0
169,,0,,0,2012,Chubut,0,,0,1,0
170,,-1,,0,2012,Mendoza,5,-.076666668,0,1,0
171,,0,,0,2012,Neuqun,0,,0,1,0
172,,1,,0,2012,Buenos Aires,4,.059245147,0,1,0
173,,1,,0,2012,Ciudad de Bs. As.,46,.22376919,0,1,0
174,,0,,0,2012,La Pampa,0,,0,1,0
175,,-1,,0,2012,Ro Negro,2,-.29341668,0,1,0
176,,0,,0,2012,San Luis,0,,0,1,0
177,,1,,0,2012,Crdoba,12,.15188888,0,1,0
