geoid_r	pop_rIp	GDPpc_rIp	educ_rIp	allpat	popd_rIp
1	25567.85	5105.31		0.00	-1.29
4	268253.72	3583.40	5.74	0.00	3.53
6	281282.02	6366.47	8.87	0.03	8.30
7	18999.63	5085.17	5.15	0.00	-0.94
19	40269.75	4895.34	4.91	0.02	-0.00
27	68713.27	5308.03	5.75	0.06	2.11
34	266040.57	3993.85	5.76	0.00	4.57
36	36926.31	5282.99	5.34	0.00	1.79
38	816189.34	10851.32	7.35	0.05	7.71
40	439014.90	4354.41	6.64	0.03	4.13
41	672826.90	4046.02	5.27	0.02	3.58
44	460195.76	6001.37	7.88	0.00	2.62
45	513825.62	2514.17	5.02	0.03	2.59
48	64491.08	16403.25	7.31	0.03	2.07
49	105904.40	6935.24	7.68	0.01	2.49
51	611579.33	2152.32	3.96	0.00	3.56
52	313441.11	2575.60	4.40	0.03	2.81
53	619940.71	4009.92	6.36	0.03	3.89
57	479591.49	6552.42	4.41	0.01	0.65
60	281651.51	4627.73	7.73	0.02	3.24
62	3453398.82	7088.47	8.77	0.04	5.23
64	188930.25	3811.42	7.09	0.00	3.79
66	105142.28	12649.20	7.66	0.00	3.73
69	716040.34	9198.63	9.09	0.03	4.82
70	107106.08	2474.03	6.01	0.02	2.96
73	939128.78	2965.30	6.40	0.01	5.47
74	372867.45	1839.94	4.76	0.03	4.07
77	302888.54	5512.39	6.23	0.00	4.23
78	261154.33	4064.20	6.92	0.00	4.43
79	206001.77	2316.29	6.24	0.00	3.59
83	104176.53	2935.43	4.99	0.00	3.98
85	1648284.06	4932.72	7.15	0.05	5.14
86	326736.87	3034.08	5.49	0.03	4.59
88	204376.91	2331.06	5.49	0.03	4.20
91	1190966.80	5145.09	8.03	0.04	5.11
93	220729.75	3702.12	6.23	0.03	4.96
98	372279.72	7673.71	4.09	0.05	0.37
99	2295529.23	5953.18	4.99	0.05	4.26
101	585326.87	3316.16	3.63	0.02	3.81
102	835487.71	6091.39	4.57	0.10	3.98
105	873138.23	6672.06	4.33	0.03	4.32
106	2505815.74	8171.61	7.34	0.00	8.03
107	224778.67	5737.63	4.96	0.03	5.59
111	498352.62	3061.01	3.37	0.00	3.53
116	757463.48	4285.08	4.62	0.08	4.03
117	379206.51	4139.77	4.00	0.03	3.47
119	506684.55	3120.91	4.20	0.07	3.75
120	318695.98	2631.68	3.60	0.00	4.01
121	523526.78	3413.28	4.07	0.26	3.85
122	271553.21	6067.01	4.49	0.00	1.81
124	53806.31	5224.73	5.44	0.06	-0.37
126	166767.05	7451.75	7.42	0.00	1.68
127	193500.42	11847.96	7.46	0.14	1.01
128	120352.43	5947.85	6.31	0.03	1.00
129	281333.34	3340.54	5.83	0.03	2.49
130	2911671.29	7143.01	7.38	0.29	5.71
131	777064.69	5741.63	7.00	0.05	4.39
132	483719.39	2763.04	5.13	0.00	3.14
133	911651.18	4867.36	5.85	0.06	3.67
134	386770.81	5222.39	5.35	0.04	3.68
135	611255.93	3697.04	5.02	0.02	2.62
137	217107.57	3182.60	3.09	0.08	0.99
138	3513014.62	5185.02	3.90	0.18	0.69
139	2441919.36	1662.25	2.67	0.08	2.68
140	1375434.72	6588.67	3.55	0.07	0.60
141	3401389.47	7315.09	4.67	0.83	2.33
142	8291358.50	5357.02	4.25	0.74	3.27
143	5192056.61	7835.85	5.10	0.11	3.49
144	16780769.90	10874.09	5.42	0.29	4.81
145	4726060.15	6417.95	4.44	0.12	3.76
146	2536185.65	7061.19	4.84	0.45	3.84
147	3210966.71	2552.68	3.10	0.06	3.76
148	1273555.69	1624.14	2.65	0.05	2.29
149	1238120.03	2507.27	2.78	0.04	4.45
150	5873506.90	3467.07	3.07	0.20	3.00
151	1364551.09	5949.32	4.53	0.04	4.01
152	1588135.95	2208.19	3.03	0.12	4.01
153	3580801.41	3284.73	3.67	0.07	4.27
154	6921368.40	8996.18	5.82	0.19	5.66
155	1192414.48	2821.34	3.48	0.06	3.78
156	749997.24	3598.18	3.20	0.07	4.21
157	1041944.89	2657.33	5.15	0.05	2.70
162	150067.46	2570.46	4.86	0.02	0.30
163	362049.22	1784.17	3.11	0.00	1.75
166	126261.21	18351.39	7.17	0.03	-0.41
168	322980.91	5046.53	6.73	0.05	1.85
169	248033.94	12626.32	6.73	0.00	0.45
170	869751.88	7957.15	6.68	0.09	2.24
172	7936195.38	7362.34	6.96	0.50	3.72
173	1750590.09	25020.77	9.60	0.03	9.69
175	324457.89	7987.99	6.32	0.02	0.88
176	183109.72	8121.39	6.68	0.03	1.34
177	1658786.14	7813.02	7.13	0.01	2.81
179	288833.07	4911.49	6.32	0.00	2.28
