geoid_r,macroregion,impact,diff,diff2,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
1,Latin America,0.12582392,-1,0,2005,,0,,,,,,,36550.68,,-3904.0869,-0.85794836,92325293763,Amazonas
2,Latin America,0.12582392,-1,0,2005,,0,,,,,,,66687.297,4.4856615,-799.409,1.4136535,20379560740,Delta Amacuro
3,Latin America,0.12582392,0,0,2005,,0,,,,,,,6163.3516,6.5999708,3962.2661,-1.906716,41483373768,Alto Paraguay
4,Latin America,0.12582392,0,0,2005,,0,,,,,,,351170.44,7.7256889,4145.8413,3.800348,7800428227,Alto Paran
5,Latin America,0.12582392,0,0,2005,,0,,,,,,,64781.813,7.167758,3569.9226,2.254313,6794915793,Amambay
6,Latin America,0.12582392,0,0,2005,,0,,,,,,,285652.44,10.418023,6454.1533,8.3157492,69879453.29,Asuncin
7,Latin America,0.12582392,0,0,2005,,0,,,,,,,25651.768,6.8391519,4532.7983,-0.6322633,47849686284,Boquern
8,Latin America,0.12582392,0,0,2005,,0,,,,,,,251042.08,7.1643653,2299.8889,3.5564506,7159642935,Caaguaz
9,Latin America,0.12582392,0,0,2005,,0,,,,,,,80562.953,6.9223943,3091.7109,2.7129805,5341929871,Caazap
10,Latin America,0.12582392,0,0,2005,,0,,,,,,,86179.164,6.6516585,4877.439,2.3482115,8188552857,Canindey
11,Latin America,0.12582392,-1,0,2005,,0,,,,,,,905559.25,8.7363434,3347.5149,6.5191817,1317834289,Central
12,Latin America,0.12582392,0,0,2005,,0,,,,,,,100079.95,7.3897591,2636.354,2.286468,10168011243,Concepcin
13,Latin America,0.12582392,0,0,2005,,0,,,,,,,138730.95,7.6053748,2410.854,3.9511449,2662598350,Cordillera
14,Latin America,0.12582392,0,0,2005,,0,,,,,,,103488.02,7.5525103,2931.3765,3.8811524,2133182499,Guair
15,Latin America,0.12582392,0,0,2005,,0,,,,,,,272478.69,7.2780528,3553.4956,3.4264269,8838556899,Itapa
16,Latin America,0.12582392,0,0,2005,,0,,,,,,,60521.82,7.9298611,3452.4541,2.5254719,4836158821,Misiones
17,Latin America,0.12582392,0,0,2005,,0,,,,,,,44493.516,7.8958273,2775.8735,1.9663775,6223560913,eembuc
18,Latin America,0.12582392,0,0,2005,,0,,,,,,,127718.09,7.503408,2186.4319,3.2658515,4872239267,Paraguar
19,Latin America,0.12582392,0,0,2005,,0,,,,,,,49522.727,6.8476458,3731.9709,0.20928469,40019483031,Presidente Hayes
20,Latin America,0.12582392,0,0,2005,,0,,,,,,,183410.55,7.0208721,2438.177,2.7685466,11498721029,San Pedro
21,Latin America,0.12582392,-1,0,2005,,0,,,,,,,72642.016,6.3569889,9253.7324,2.9550669,3782855672,Colonia
22,Latin America,0.12582392,-1,0,2005,,0,,,,,,,62952.168,5.966126,5471.731,3.0246921,3062277484,San Jos
23,Latin America,0.12582392,-1,0,2005,,0,,,,,,,45791.656,6.3045931,5000.7739,1.854847,7170318318,Artigas
