region,technology,firms,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,err_9_up,err_8_up,err_7_up,err_6_up,err_5_up,err_4_up,err_3_up,err_2_up,err_1_up,err0_up,err1_up,err2_up,err3_up,err4_up,err5_up,err6_up,err7_up,err8_up,err9_up,err10_up,err_9_down,err_8_down,err_7_down,err_6_down,err_5_down,err_4_down,err_3_down,err_2_down,err_1_down,err0_down,err1_down,err2_down,err3_down,err4_down,err5_down,err6_down,err7_down,err8_down,err9_down,err10_down
All regions,All technologies,All firms,-0.012909472,0.005975687,-0.00718016,0.009352055,0.01793493,0.009390654,0.029413588,0.015615228,0.018142879,0.025102917,0.080694906,0.10027805,0.12654829,0.16753173,0.12829199,0.14879027,0.16192082,0.15743749,0.18813613,0.18568102,0.012682367,0.032275248,0.018103305,0.036319047,0.045372229,0.037384465,0.060126584,0.044249535,0.048144899,0.057191133,0.11458459,0.1368517,0.1642326,0.20701182,0.16957507,0.19072932,0.2062321,0.20502226,0.23691376,0.23489656,-0.038501311,-0.020323873,-0.032463625,-0.017614935,-0.009502369,-0.018603157,-0.001299408,-0.013019079,-0.011859141,-0.006985298,0.046805222,0.063704401,0.088863999,0.12805162,0.087008931,0.10685121,0.11760952,0.10985271,0.13935849,0.13646546
All regions,All technologies,All firms,-0.012909472,0.005975687,-0.00718016,0.009352055,0.01793493,0.009390654,0.029413588,0.015615228,0.018142879,0.025102917,0.080694906,0.10027805,0.12654829,0.16753173,0.12829199,0.14879027,0.16192082,0.15743749,0.18813613,0.18568102,0.012682367,0.032275248,0.018103305,0.036319047,0.045372229,0.037384465,0.060126584,0.044249535,0.048144899,0.057191133,0.11458459,0.1368517,0.1642326,0.20701182,0.16957507,0.19072932,0.2062321,0.20502226,0.23691376,0.23489656,-0.038501311,-0.020323873,-0.032463625,-0.017614935,-0.009502369,-0.018603157,-0.001299408,-0.013019079,-0.011859141,-0.006985298,0.046805222,0.063704401,0.088863999,0.12805162,0.087008931,0.10685121,0.11760952,0.10985271,0.13935849,0.13646546
All regions,Chemical,All firms,-0.025048206,0.013097456,-0.020284729,-0.022834588,-0.041778836,-0.011472043,0.02064159,0.022023605,-0.01960763,0.00659083,0.057168663,0.061989911,0.094931401,0.14417504,0.14097565,0.050841544,0.11154152,0.10936522,0.079107955,0.047923204,0.034903035,0.07231731,0.038447946,0.04073146,0.016827485,0.060621139,0.084247708,0.090420797,0.043707035,0.082839496,0.1374805,0.14368124,0.17859243,0.22510299,0.22411481,0.13544737,0.20335759,0.20473744,0.17175293,0.13919289,-0.08499945,-0.046122402,-0.079017408,-0.086400636,-0.10038516,-0.08356522,-0.042964529,-0.046373583,-0.082922295,-0.069657832,-0.02314317,-0.019701412,0.011270369,0.063247085,0.057836507,-0.033764284,0.019725442,0.013993007,-0.013537026,-0.043346487
All regions,Computers & Communications,All firms,-0.006547663,-0.013332294,-0.01587739,0.014723773,0.009794826,-0.003530418,-0.009139326,-0.02433024,0.00066529,0.004500332,0.059614096,0.11007119,0.13767144,0.17047974,0.12263396,0.16183786,0.19709605,0.16276141,0.29114023,0.28418258,0.034231547,0.030051243,0.026454473,0.064216457,0.064230084,0.040163819,0.043037239,0.032430936,0.05930258,0.074943312,0.13050419,0.19127643,0.23160616,0.26912466,0.22907554,0.27075896,0.31322122,0.29181606,0.42132857,0.42434898,-0.04732687,-0.056715831,-0.058209252,-0.034768913,-0.044640429,-0.047224656,-0.06131589,-0.081091411,-0.057971999,-0.065942653,-0.011275991,0.028865943,0.04373673,0.07183481,0.016192399,0.05291678,0.080970891,0.033706762,0.1609519,0.14401618
All regions,Drugs & Medical,All firms,-0.01651307,-0.016061649,0.002747481,0.009507668,0.003768276,0.009267523,0.070325337,0.06591811,0.018011965,0.061150074,0.13698164,0.10920189,0.24477573,0.24299528,0.17336476,0.2592915,0.27795422,0.25985458,0.30966133,0.33707321,0.039966032,0.03118808,0.053532481,0.063892782,0.050749354,0.06569925,0.13707812,0.13250589,0.087335989,0.12720346,0.21435389,0.1946391,0.33930841,0.34282866,0.28290379,0.37609819,0.40171564,0.38906503,0.44948435,0.46974444,-0.072992168,-0.063311376,-0.048037518,-0.044877443,-0.043212801,-0.047164202,0.003572546,-0.000669661,-0.051312063,-0.004903315,0.059609395,0.023764689,0.15024306,0.14316191,0.063825741,0.1424848,0.15419281,0.13064413,0.16983829,0.20440196
All regions,Electrical & Electronic,All firms,-0.046858471,-0.001661115,0.000384729,0.008806451,0.005961634,-0.030029465,0.004956875,0.034181211,0.032173187,0.038610458,0.096114725,0.071188092,0.12948313,0.18595043,0.16583189,0.17277756,0.14779696,0.1928023,0.21029733,0.20027322,0.012793788,0.067191444,0.064650707,0.079419211,0.07458996,0.028142678,0.075831138,0.10212451,0.099109061,0.11278845,0.17457832,0.15675393,0.21358176,0.27643037,0.26143,0.27577356,0.25091818,0.31022274,0.33105218,0.32193148,-0.10651073,-0.070513673,-0.063881256,-0.06180631,-0.062666699,-0.088201605,-0.065917388,-0.033762094,-0.034762688,-0.035567529,0.017651128,-0.014377745,0.045384515,0.09547051,0.070233814,0.069781549,0.044675741,0.075381868,0.089542456,0.07861495
All regions,Mechanical,All firms,-0.066014551,0.073071331,-0.054244407,0.01773891,0.026544522,0.046692148,0.006413777,-0.006346074,-0.067671217,0.061265815,0.072540723,0.15039061,0.04185091,0.18384425,0.056425005,0.16727017,0.15578865,0.05079424,0.036093418,0.12726654,0.026108991,0.17604229,0.039961681,0.10760996,0.1279102,0.15308684,0.12480547,0.093070596,0.03268186,0.17110267,0.19756076,0.27707165,0.16296113,0.3188431,0.19517037,0.29490191,0.29933715,0.19958401,0.18101166,0.26230055,-0.1581381,-0.029899631,-0.14845049,-0.07213214,-0.074821159,-0.059702542,-0.11197791,-0.10576274,-0.1680243,-0.04857105,-0.052479301,0.023709578,-0.079259314,0.048845407,-0.082320355,0.039638422,0.01224014,-0.097995527,-0.10882482,-0.007767456
All regions,Others,All firms,0.058426823,0.002007754,0.02639037,0.026865229,0.093493931,0.05508988,0.081999533,0.01120849,0.10720047,0.001030811,0.07438045,0.11418219,0.11447642,0.11062615,0.10303809,0.1096601,0.11093508,0.15870321,0.17522933,0.13327175,0.12611938,0.066848248,0.089033,0.094810955,0.16350438,0.13120826,0.16393065,0.080101177,0.18918481,0.079193838,0.15124033,0.19829939,0.19698989,0.19683543,0.1871669,0.18925278,0.19234233,0.24022867,0.25908622,0.2163572,-0.00926573,-0.062832735,-0.03625226,-0.041080497,0.023483476,-0.021028508,6.84011E-05,-0.057684198,0.025216136,-0.077132218,-0.002479438,0.030064981,0.03196295,0.02441687,0.018909285,0.030067408,0.029527832,0.077177756,0.09137243,0.050186295
Western Europe,All technologies,All firms,0.001255216,0.02287315,0.013496615,0.027933588,0.039351542,0.038692579,0.052436203,0.041727819,0.055652719,0.053161986,0.10707445,0.1339111,0.1549813,0.19345589,0.14505127,0.15359013,0.16279559,0.16075473,0.22065794,0.18876547,0.034122892,0.055862527,0.045150626,0.061679281,0.07475578,0.075923197,0.091979273,0.079049028,0.094942369,0.093632355,0.1495218,0.18049486,0.20148382,0.24244815,0.19514626,0.20477168,0.21641345,0.21767652,0.28040719,0.24803495,-0.031612456,-0.010116229,-0.018157396,-0.005812107,0.003947306,0.001461967,0.012893132,0.004406607,0.016363069,0.012691617,0.064627104,0.087327339,0.10847878,0.14446361,0.094956271,0.10240857,0.10917773,0.10383293,0.16090868,0.12949596
Western Europe,Chemical,All firms,-0.015379589,0.011241776,-0.008801013,-0.013546717,-0.033436093,-0.012354798,0.039332557,0.022448283,-0.01674057,-0.001142762,0.035635594,0.043308657,0.050853815,0.14395967,0.11360154,0.012902062,0.052534532,0.070977643,0.043207154,0.003901562,0.064128458,0.086215697,0.069498688,0.070417345,0.045230374,0.083190821,0.12056781,0.11209213,0.066256613,0.09249077,0.13345928,0.14282343,0.15520456,0.24588531,0.22286364,0.11606572,0.16235577,0.18532057,0.15720767,0.11898381,-0.094887637,-0.06373214,-0.087100714,-0.097510785,-0.11210256,-0.10790042,-0.041902695,-0.067195565,-0.099737756,-0.094776295,-0.0621881,-0.056206122,-0.053496938,0.042034019,0.004339439,-0.090261593,-0.057286706,-0.043365281,-0.07079336,-0.11118069
